Lot No,Description,Shape,Size,Pcs,Wt (cts),Color,Clarity,Certificate,Video,Cut,POL,SYM,FL,M1,M2,M3,TAB,DEP,Rap ($),Dis,Total,Price,Name,Average weight
1000,,,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1001,,Lab Grown Round ROUN,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1002,,,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1003,,Lab Grown Round 125 ,,0,23.56,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1004,,Lab Grown Round 130 ,,0,17.66,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1005,,Lab Grown Round 135 ,,0,86.23,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1006,,Lab Grown Round 145 ,,0,64.80,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1007,,Lab Grown Round 150 ,,0,26.06,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1008,,Lab Grown Round 155 ,,0,31.41,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1009,,Lab Grown Round 160 ,,0,71.98,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1010,,Lab Grown Round 170 ,,0,66.74,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1011,,Lab Grown Round 180 ,,0,20.61,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1012,,Lab Grown Round 190 ,,0,31.48,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1013,,Lab Grown Round 200 ,,0,29.88,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1014,,Lab Grown Round 210 ,,0,52.15,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1015,,Lab Grown Round 220 ,,0,48.78,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1016,,Lab Grown Round 230 ,,0,36.45,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1017,,Lab Grown Round 240 ,,0,37.44,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1018,,Lab Grown Round 250 ,,0,23.81,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1019,,Lab Grown Round 260 ,,0,23.09,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1020,,Lab Grown Round 270 ,,0,92.46,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1021,,Lab Grown Round 280 ,,0,72.09,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1022,,Lab Grown Round 290 ,,0,53.18,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1023,,Lab Grown Round 300 ,,0,38.29,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1024,,Lab Grown Round 310 ,,0,64.67,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1025,,Lab Grown Round 320 ,,313,42.67,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
1026,,Lab Grown Round 330 ,,174,25.36,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
